Field,Variable Name,Variable Long Name,Variable Description,Original Variable Name,Reference URL,Data Table,Keys,Indexes,Units,Min value,Max value,Field data type
Race/hispanic Origin W/ Nh Asian,RIDRETH3,Race/Hispanic origin w/ NH Asian,"Recode of reported race and Hispanic origin information, with Non-Hispanic Asian Category",RIDRETH3,http://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Demographics&CycleBeginYear=2011,"Demographic Variables & Sample Weights, DEMO_G Data [XPT, 3.6 MB]",,,N/A,Mexican American,Other Race - Including Multi-Racial,text
Race/hispanic Origin,RIDRETH1,Race/Hispanic origin,Recode of reported race and Hispanic origin information,RIDRETH1,http://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Demographics&CycleBeginYear=2011,"Demographic Variables & Sample Weights, DEMO_G Data [XPT, 3.6 MB]",,,N/A,Mexican American,Other Race - Including Multi-Racial,text
Pregnancy Status At Exam,RIDEXPRG,Pregnancy status at exam,Pregnancy status for females between 20 and 44 years of age at the time of MEC exam.,RIDEXPRG,http://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Demographics&CycleBeginYear=2011,"Demographic Variables & Sample Weights, DEMO_G Data [XPT, 3.6 MB]",,,N/A,Cannot ascertain if the participant is pregnant at exam,"Yes, positive lab pregnancy test or self-reported pregnant at exam",text
Age In Months At Exam - 0 To 19 Years,RIDEXAGM,Age in months at exam - 0 to 19 years,Age in months of the participant at the time of examination. Reported for persons aged 19 years or younger at the time of examination,RIDEXAGM,http://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Demographics&CycleBeginYear=2011,"Demographic Variables & Sample Weights, DEMO_G Data [XPT, 3.6 MB]",,,Months,0,Missing,text
Age,RIDAGEYR,Age in years at screening,Age in years at screening English Text: Age in years of the participant at the time of screening. Individuals 80 and over are topcoded at 80 years of age.,RIDAGEYR,http://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Demographics&CycleBeginYear=2011,"Demographic Variables & Sample Weights, DEMO_G Data [XPT, 3.6 MB]",,,Years,0,8,varchar(128)
Age In Months At Screening,RIDAGEMN,Age in months at screening - 0 to 24 mos,Age in months of the participant at the time of screening. Reported for persons aged 24 months or younger at the time of exam (or screening if not examined),RIDAGEMN,http://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Demographics&CycleBeginYear=2011,"Demographic Variables & Sample Weights, DEMO_G Data [XPT, 3.6 MB]",,,Months,0,Missing,text
Gender,RIAGENDR,Gender,Gender of the participant,RIAGENDR,http://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Demographics&CycleBeginYear=2011,"Demographic Variables & Sample Weights, DEMO_G Data [XPT, 3.6 MB]",,,N/A,Female,Male,varchar(128)
Annual Household Income,INDHHIN2,Annual household income,Total household income (reported as a range value in dollars),INDHHIN2,http://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Demographics&CycleBeginYear=2011,"Demographic Variables & Sample Weights, DEMO_G Data [XPT, 3.6 MB]",,,Dollars,"$ 0 to $ 4,999","Under $20,000",text
Ratio Of Family Income To Poverty,INDFMPIR,Ratio of family income to poverty,A ratio of family income to poverty guidelines.,INDFMPIR,http://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Demographics&CycleBeginYear=2011,"Demographic Variables & Sample Weights, DEMO_G Data [XPT, 3.6 MB]",,,N/A,0,Missing,text
Annual Family Income,INDFMIN2,Annual family income,Total family income (reported as a range value in dollars),INDFMIN2,http://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Demographics&CycleBeginYear=2011,"Demographic Variables & Sample Weights, DEMO_G Data [XPT, 3.6 MB]",,,Dollars,"$ 0 to $ 4,999","Under $20,000",text
Marital Status,DMDMARTL,Marital status,Marital status,DMDMARTL,http://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Demographics&CycleBeginYear=2011,"Demographic Variables & Sample Weights, DEMO_G Data [XPT, 3.6 MB]",,,N/A,Divorced,Widowed,text
Education Level - Children/youth 6-19,DMDEDUC3,Education level - Children/Youth 6-19,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,DMDEDUC3,http://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Demographics&CycleBeginYear=2011,"Demographic Variables & Sample Weights, DEMO_G Data [XPT, 3.6 MB]",,,N/A,10th grade,Never attended / kindergarten only,text
Education Level - Adults,DMDEDUC2,Education level - Adults 20+,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,DMDEDUC2,http://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Demographics&CycleBeginYear=2011,"Demographic Variables & Sample Weights, DEMO_G Data [XPT, 3.6 MB]",,,N/A,9-11th grade (Includes 12th grade with no diploma),Some college or AA degree,text
Bodyweight,BMXWT,Weight (kg),Weight (kg),BMXWT,http://wwwn.cdc.gov/Nchs/Nhanes/Search/DataPage.aspx?Component=Examination&CycleBeginYear=2011,"Body Measures BMX_G Data [XPT, 1.9 MB]",,,Kg,3.6,216.1,text
Height,BMXHT,Standing Height (cm),Standing Height (cm),BMXHT,http://wwwn.cdc.gov/Nchs/Nhanes/Search/DataPage.aspx?Component=Examination&CycleBeginYear=2011,"Body Measures BMX_G Data [XPT, 1.9 MB]",,,Cm,,99.8,text
